RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,RecipeCategory,Keywords,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings
48,Boston Cream Pie,1545,Nancy Van Ess,,PT2H15M,PT2H15M,1999-08-24T04:35:00Z,Make and share this Boston Cream Pie recipe from Food.com.,Pie,"c(""Dessert"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",688.2,36.4,12.9,105.9,722.3,84.0,1.6,46.2,8.8,8.0
49,Chicken Breasts Lombardi,174711,Queen Dragon Mom,PT30M,PT45M,PT1H15M,1999-08-14T19:58:00Z,Make and share this Chicken Breasts Lombardi recipe from Food.com.,Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""European"", ""Very Low Carbs"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",627.7,24.9,13.0,203.0,848.9,13.7,0.6,2.0,57.9,6.0
50,Biscotti Di Prato,1752,Bob Ross,PT50M,PT20M,PT1H10M,1999-08-31T21:19:00Z,Make and share this Biscotti Di Prato recipe from Food.com.,Dessert,"c(""Cookie & Brownie"", ""European"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",89.4,2.6,0.3,16.6,23.5,14.5,0.8,7.3,2.3,
51,Chai Tea,1550,Linda Sundbye,PT25M,PT15M,PT40M,1999-08-16T05:10:00Z,Make and share this Chai Tea recipe from Food.com.,Beverages,"c(""Free Of..."", ""< 60 Mins"")",69.2,3.8,2.1,12.8,53.2,6.0,0.7,0.0,3.5,4.0
52,Cafe Cappuccino,2178,troyh,,PT5M,PT5M,1999-08-31T21:05:00Z,Make and share this Cafe Cappuccino recipe from Food.com.,Beverages,"c(""Low Cholesterol"", ""High Protein"", ""Healthy"", ""High In..."", ""< 15 Mins"", ""For Large Groups"", ""No Cook"", ""Easy"")",62.2,0.1,0.0,1.3,36.6,12.8,0.0,11.8,2.7,18.0
53,Jimmy G's Carrot Cake,1772,Jimg2040,PT45M,PT1H5M,PT1H50M,1999-09-08T15:39:00Z,Make and share this Jimmy G's Carrot Cake recipe from Food.com.,Dessert,"c(""Pineapple"", ""Tropical Fruits"", ""Fruit"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",372.9,10.6,3.2,62.0,190.0,66.2,3.4,40.9,6.6,
54,Carrot Cake,1535,Marg CaymanDesigns,PT50M,PT45M,PT1H35M,1999-09-13T15:20:00Z,This is one of the few recipes my husband every requested from a coworker and brought home for me to make.,Dessert,"c(""Vegetable"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",522.6,27.1,4.9,69.8,534.8,67.0,1.6,47.9,5.0,12.0
55,Betty Crocker's Southwestern Guacamole Dip,1538,Duckie067,PT2H,PT5M,PT2H5M,1999-09-15T03:25:00Z,Make and share this Betty Crocker's Southwestern Guacamole Dip recipe from Food.com.,Southwestern U.S.,"c(""Mexican"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Weeknight"", ""No Cook"", ""< 4 Hours"", ""Easy"")",415.9,36.9,5.4,0.0,310.6,24.9,17.3,2.8,5.5,4.0
56,Buttermilk Pie,1581,thefensk,PT1H,PT20M,PT1H20M,1999-08-30T10:02:00Z,"This recipe was originally noted by my wife on a cooking show on TV.  It was touted as an Amish recipe.  All we had for a long time was the list of ingredients on the back of an old envelope.  We lost it for a good while and after I found it, I originally posted it so I would never lose it again.   Thank you all for all your interest ... this is my absolute favorite pie.  During the &quot;lost&quot; phase I must have gained 20 pounds trying numerous different buttermilk pie recipes ... I was so glad when I found it again as only a few even came close in taste and texture.  I've noted a lot of people mentioning reducing the sugar, which is fine, but bear in mind that the sugar quantity was a major difference between this and other recipes I tested when it was lost. Hey, it is a PIE, it is SUPPOSED to be sweet.  Enjoy",Pie,"c(""Dessert"", ""Oven"", ""< 4 Hours"", ""Easy"")",395.9,19.1,9.8,101.5,269.8,52.2,0.7,39.9,5.0,8.0
57,Black Bean Salsa,1569,Linda7,,PT10M,PT10M,1999-08-31T21:02:00Z,Make and share this Black Bean Salsa recipe from Food.com.,Sauces,"c(""Black Beans"", ""Beans"", ""Mexican"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""No Cook"", ""Easy"")",114.3,3.8,0.5,0.0,3.7,15.6,5.5,1.4,5.4,8.0
58,Low-Fat Burgundy Beef & Vegetable Stew,1533,Dancer,PT2H14M,PT30M,PT2H44M,1999-08-14T19:48:00Z,Make and share this Low-Fat Burgundy Beef & Vegetable Stew recipe from Food.com.,Stew,"c(""Vegetable"", ""Meat"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""Weeknight"", ""< 4 Hours"")",280.1,6.0,1.5,66.9,591.5,22.4,6.1,9.2,29.8,6.0
59,Lou's Fabulous Bruschetta,1578,klcesarz,PT10M,PT30M,PT40M,1999-09-13T04:06:00Z,Make and share this Lou's Fabulous Bruschetta recipe from Food.com.,Vegetable,"c(""European"", ""Low Cholesterol"", ""Healthy"", ""Spring"", ""Summer"", ""< 60 Mins"", ""Oven"")",221.5,6.5,2.5,11.8,367.8,32.5,2.5,1.8,8.1,8.0
60,Blueberry Dessert,1545,Nancy Van Ess,,PT35M,PT35M,1999-08-16T05:59:00Z,Make and share this Blueberry Dessert recipe from Food.com.,Dessert,"c(""Berries"", ""Fruit"", ""< 60 Mins"", ""Oven"")",381.1,17.3,8.8,62.1,437.6,54.5,1.6,36.9,3.9,12.0
61,Brownie Heart Cake,1555,Cindy Hartlin,PT42M,PT35M,PT1H17M,1999-09-07T14:15:00Z,Make and share this Brownie Heart Cake recipe from Food.com.,Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")",4713.8,286.5,144.2,1097.5,2157.8,509.9,29.0,392.5,71.7,
62,"Black Bean, Corn, and Tomato Salad",1570,Dave Miner,PT15M,PT10M,PT25M,1999-08-19T05:12:00Z,"This is easy, delicious, colorful, delicious, uses currently-in-season fresh corn and tomatoes, and, oh yes, is really good.  I made a double batch of this yesterday for two of us, and we just polished off the rest of it this evening.    BTW, Ordinary tomato is fine instead of plum tomato (and we happen to use  more of it); I highly recommend flat-leaf parsley, if you can find it, because  the curly stuff is not nearly as flavorful; You can use radicchio or any other  kind of lettuce (if you choose to use any at all); The salad tastes even  better the second day!; Flavor is better when served closer to room temp  as opposed to ice cold.",Black Beans,"c(""Corn"", ""Beans"", ""Vegetable"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""Spring"", ""Summer"", ""< 30 Mins"", ""Easy"")",407.8,15.4,2.3,0.0,20.0,55.8,16.6,4.3,17.1,2.0
63,Cabbage and Sausage Soup,1544,tranch,PT25M,PT15M,PT40M,1999-09-07T12:52:00Z,Make and share this Cabbage and Sausage Soup recipe from Food.com.,< 60 Mins,,586.1,38.7,12.3,71.9,2020.8,26.1,3.5,11.6,30.2,6.0
64,Almond Pound Cake,125579,GrandmaIsCooking,PT1H,PT15M,PT1H15M,1999-08-07T16:33:00Z,Make and share this Almond Pound Cake recipe from Food.com.,Dessert,"c(""Fruit"", ""Nuts"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",408.5,17.9,9.0,118.9,159.4,56.0,1.3,29.0,6.9,10.0
66,Black Coffee Barbecue Sauce,174711,Queen Dragon Mom,PT20M,PT10M,PT30M,1999-09-10T21:43:00Z,"It's great to know folks like this sauce so much! I wish I could take credit for it but it was adopted after the original member left. Thank you, all, just the same.
I have made the recipe with regular brewed coffee but highly recommend the espresso. In a pinch use strong instant if you have nothing else. The acid of the coffee balances the sweetness of the other ingredients.",Lactose Free,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""< 30 Mins"", ""Easy"")",772.0,3.9,0.5,0.0,2241.9,189.6,6.4,164.3,7.0,
67,Bourbon Pecan Pound Cake,1573,benluc,PT1H,PT1H,PT2H,1999-09-01T09:01:00Z,Make and share this Bourbon Pecan Pound Cake recipe from Food.com.,Dessert,"c(""Fruit"", ""Nuts"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",697.7,31.7,13.6,143.6,441.9,91.2,1.9,62.6,7.8,12.0
68,Chicago Style Pizza,174711,Queen Dragon Mom,PT2H38M,PT35M,PT3H13M,1999-08-22T04:56:00Z,Make and share this Chicago Style Pizza recipe from Food.com.,Weeknight,"c(""Oven"", ""< 4 Hours"")",471.4,24.5,10.1,55.0,990.0,41.1,1.9,2.5,20.9,8.0
69,Chicha Peruana,1595,Enrique1,PT1H50M,PT2H45M,PT4H35M,1999-08-14T06:20:00Z,"Chicha (corn beer). Chicha is made in South and, to a lesser extent, Central America. Unlike African opaque beer, it is not brewed commercially, but instead is made and served in what sound to me like wee tiny brewpubs. An abbreviated version is also made in people's kitchens. Chicha is consumed whilst still fermenting and so is low in alcohol. It is often spiced and may also be served with fruit.  With Bill's help and a little patience, a friend and I recently completed a batch. This was a very interesting and satisfying endeavour which included growing and malting the corn used. Every step of the process was very simple, and I highly recommend attempting this at home. My second crop of corn is about to come in and the results were good enough that I will be doing this again in the near future.",Beverages,"c(""Mexican"", ""Free Of..."", ""Weeknight"", ""Easy"")",21.1,0.3,0.0,0.0,3.6,2.7,1.5,0.0,2.7,
70,Buckwheat Bread,1547,Morton Design Graph,PT3H,PT35M,PT3H35M,1999-08-24T04:19:00Z,Make and share this Buckwheat Bread recipe from Food.com.,Yeast Breads,"c(""Breads"", ""Healthy"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",2389.3,27.3,7.1,379.4,2717.0,466.9,57.5,30.2,97.8,
71,Chicken and Dumplings,1582,Diana van den Broek,PT43M,PT1H25M,PT2H8M,1999-08-25T06:51:00Z,Make and share this Chicken and Dumplings recipe from Food.com.,Whole Chicken,"c(""Chicken"", ""Poultry"", ""Meat"", ""Winter"", ""Weeknight"", ""Broil/Grill"", ""Oven"", ""Stove Top"", ""< 4 Hours"")",657.9,42.7,14.4,188.7,637.7,19.1,2.1,2.6,46.1,8.0
72,Brownie Pudding,193853,MirandaLee,PT35M,PT40M,PT1H15M,1999-08-20T09:50:00Z,Make and share this Brownie Pudding recipe from Food.com.,Dessert,"c(""Low Protein"", ""Healthy"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",182.8,5.9,3.6,7.8,160.2,34.0,2.1,25.3,2.3,10.0
73,Bratwurst,1547,Morton Design Graph,PT1H,PT50M,PT1H50M,1999-08-22T05:04:00Z,"Although they can be made with a fine grind, we prefer the slightly coarse texture obtained with the 3/8 in. (0.95 cm) plate.",High Protein,"c(""Free Of..."", ""High In..."", ""Weeknight"", ""< 4 Hours"")",1243.1,74.6,27.6,418.3,1519.1,28.3,6.6,11.1,113.3,
74,Brownie Cheesecake Torte,67395,Dannygirl,PT55M,PT35M,PT1H30M,1999-08-22T04:49:00Z,Make and share this Brownie Cheesecake Torte recipe from Food.com.,Cheesecake,"c(""Dessert"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",122.1,4.9,3.0,15.9,194.7,14.4,0.5,10.9,5.7,12.0
75,California Chilled Salsa,1551,Sean Coate,,PT25M,PT25M,1999-09-06T05:11:00Z,Make and share this California Chilled Salsa recipe from Food.com.,Sauces,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""< 30 Mins"")",21.0,0.1,0.0,0.0,354.9,4.9,0.9,3.3,0.6,10.0
76,Alfredo Sauce,1535,Marg CaymanDesigns,PT10M,PT5M,PT15M,1999-09-15T04:26:00Z,"This is my son's favorite meal. I make it with shrimp for him for his birthday every year. GREAT for company because it is so easy and yet taste wonderful! I cook this in the microwave, but I'm sure you could do it on the stove too. Times are what work in my microwave. Please use your own good judgment on times to use in your microwave. (In my quest to eat healthier, I now make it with light butter, light cream and reduced fat Parmesan cheese. It still tastes wonderful, but there isn't any guilt!)
PLEASE NOTE! This is an &quot;authentic&quot; Alfredo sauce recipe! Real Alfredo sauce *only* contains butter, cream, Parmesan cheese and pepper. It will be thin and there is no garlic in it! If you want a thicker sauce or one with garlic like modern restaurants serve, please look elsewhere! Recipe #52892 and Recipe #8596 are two good places to start.",Sauces,"c(""European"", ""Very Low Carbs"", ""High In..."", ""< 15 Mins"", ""Easy"")",489.9,50.4,31.5,159.0,312.4,2.5,0.0,0.2,8.7,4.0
78,Buttermilk Ranch Dressing,1582,Diana van den Broek,,PT20M,PT20M,1999-08-18T04:20:00Z,Make and share this Buttermilk Ranch Dressing recipe from Food.com.,Free Of...,"""< 30 Mins""",267.2,20.6,12.8,46.4,577.9,14.1,0.3,7.7,8.2,
79,Brisket with Sauerkraut and Applesauce,1549,Dave5003,PT3H,PT25M,PT3H25M,1999-09-06T04:33:00Z,Make and share this Brisket with Sauerkraut and Applesauce recipe from Food.com.,Weeknight,"c(""Stove Top"", ""< 4 Hours"", ""Easy"")",232.9,13.6,5.4,36.5,475.7,19.3,2.3,8.5,9.6,6.0
80,Bread Pudding,1538,Duckie067,PT45M,PT20M,PT1H5M,1999-09-19T06:23:00Z,Make and share this Bread Pudding recipe from Food.com.,Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")",487.1,25.6,14.5,264.8,597.1,49.3,0.4,29.6,15.6,4.0
81,All Purpose Quick Mix With 28 Variations,125579,GrandmaIsCooking,PT30M,PT10M,PT40M,1999-09-10T17:09:00Z,"--Adopted Recipe--
Don't be intimidated by all the steps.  Really, there are just a few steps.  The additional &quot;steps&quot; are all the wonderful variations you can make.  Nutrition information is not correct, as it does not include the extra ingredients listed in the variations below.",High In...,"c(""< 60 Mins"", ""Easy"")",529.3,24.3,14.8,61.0,865.8,69.7,6.8,0.3,11.2,
82,Brazilian Empadinhas,1600,Leon  Miriam Posvol,PT2H37M,PT1H,PT3H37M,1999-08-24T05:35:00Z,The empanadas in Brazil are different from those in other  Latin american countries and are called empadas or empadinhas. They look more like mini pies,Brazilian,"c(""South American"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",329.7,16.7,3.4,77.5,446.8,35.6,2.0,1.9,9.3,8.0
83,Bubble and Squeak,1544,tranch,PT2H27M,PT30M,PT2H57M,1999-08-28T02:59:00Z,Make and share this Bubble and Squeak recipe from Food.com.,Breakfast,"c(""European"", ""Weeknight"", ""Broil/Grill"", ""Oven"", ""Stove Top"", ""< 4 Hours"")",480.7,24.9,11.5,54.9,286.1,56.9,7.6,4.9,11.1,4.0
84,Braised Brussels Sprouts With Vinegar and Dill,1555,Cindy Hartlin,PT23M,PT25M,PT48M,1999-09-07T14:16:00Z,Make and share this Braised Brussels Sprouts With Vinegar and Dill recipe from Food.com.,Vegetable,"c(""< 60 Mins"", ""Oven"", ""Easy"")",40.9,0.6,0.1,0.0,23.9,8.1,3.0,2.0,2.9,12.0
85,Butter Madeira Cake,1543,Doreen Randal,PT1H45M,PT1H10M,PT2H55M,1999-09-12T06:01:00Z,Make and share this Butter Madeira Cake recipe from Food.com.,Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")",373.8,19.9,11.8,126.3,243.8,43.9,0.8,22.2,5.5,8.0
86,Butter Dips,1559,Will Parkinson,PT20M,PT1H5M,PT1H25M,1999-09-15T03:40:00Z,Make and share this Butter Dips recipe from Food.com.,Breads,"c(""High In..."", ""Weeknight"", ""Oven"", ""< 4 Hours"")",64.1,3.2,2.0,8.7,118.6,7.6,0.2,0.4,1.2,
87,Brownies,1577,Karina Isabel Caputi,PT30M,PT35M,PT1H5M,1999-09-07T20:32:00Z,Make and share this Brownies recipe from Food.com.,Bar Cookie,"c(""Dessert"", ""Cookie & Brownie"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",355.1,19.5,10.6,111.2,164.1,42.6,0.7,33.7,4.2,12.0
88,Breakfast Burritos,1575,lindaWWJD,,PT35M,PT35M,1999-08-13T13:36:00Z,Make and share this Breakfast Burritos recipe from Food.com.,Breakfast,"c(""Mexican"", ""< 60 Mins"", ""Easy"")",1974.0,112.2,41.1,656.1,4146.0,150.2,8.8,9.3,84.7,4.0
89,Almond Joy Cake,98016,Queen of Everything,PT1H,PT20M,PT1H20M,1999-08-16T05:07:00Z,Make and share this Almond Joy Cake recipe from Food.com.,Dessert,"c(""Low Protein"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",1001.4,50.4,27.8,6.2,634.9,141.6,7.8,110.2,6.7,12.0
90,Almond Paste,1537,Barbara5,PT168H,PT15M,PT168H15M,1999-08-23T12:33:00Z,Make and share this Almond Paste recipe from Food.com.,Dessert,"c(""Fruit"", ""Nuts"", ""Lactose Free"", ""Vegan"", ""Low Cholesterol"", ""Egg Free"", ""Free Of..."", ""Weeknight"", ""Refrigerator"", ""Easy"")",2123.5,119.8,9.0,0.0,49.1,244.0,22.6,210.7,48.9,
91,Brown Rice and Vegetable Pilaf,1576,Robb Dabbs,PT2H,PT30M,PT2H30M,1999-09-06T04:30:00Z,Make and share this Brown Rice and Vegetable Pilaf recipe from Food.com.,Brown Rice,"c(""Rice"", ""Vegetable"", ""Weeknight"", ""< 4 Hours"")",412.6,24.4,16.3,40.7,410.7,42.1,4.4,2.7,8.1,6.0
92,Brown Bag Apple Salad,1533,Dancer,,PT10M,PT10M,1999-08-13T13:13:00Z,Make and share this Brown Bag Apple Salad recipe from Food.com.,Oranges,"c(""Apple"", ""Berries"", ""Grapes"", ""Citrus"", ""Fruit"", ""Nuts"", ""Lactose Free"", ""Low Protein"", ""Low Cholesterol"", ""Egg Free"", ""Healthy"", ""Kosher"", ""Free Of..."", ""Sweet"", ""< 15 Mins"", ""Easy"")",141.4,5.0,0.5,0.0,1.5,25.4,3.3,20.6,2.1,4.0
93,Blue Stuffed Mushrooms,1533,Dancer,,PT15M,PT15M,1999-08-12T06:42:00Z,Make and share this Blue Stuffed Mushrooms recipe from Food.com.,Free Of...,"c(""< 15 Mins"", ""Easy"")",246.3,22.2,12.1,53.8,482.8,3.5,0.9,1.0,9.9,4.0
94,Blueberry Buttertarts,1556,Strawberry Girl,PT25M,PT15M,PT40M,1999-09-12T05:46:00Z,Make and share this Blueberry Buttertarts recipe from Food.com.,Dessert,"c(""Berries"", ""Fruit"", ""< 60 Mins"", ""Oven"")",337.9,18.4,4.7,17.6,125.7,40.2,1.2,11.5,4.2,12.0
96,Calzone,1584,Lynn Macom,PT6M,PT35M,PT41M,1999-09-10T05:13:00Z,"Calzone has the same flavors as pizza, but it is made like a  huge turnover with the meat, sauce and melting cheese sealed inside. It can  stand alone as a substantial snack, or, combined with a green salad and soup, it makes an easy supper.",Pork,"c(""Meat"", ""European"", ""< 60 Mins"", ""Oven"")",622.8,50.6,21.5,125.9,1504.2,8.9,1.2,0.9,33.1,4.0
97,"Capsicum, Tomato and Crunchy Bread Salad",1543,Doreen Randal,PT40M,PT1H10M,PT1H50M,1999-08-24T04:44:00Z,I've made this one with stale toast bread it worked ok. My friends enjoyed this. Didn't have any egg tomatoes so used ordinary ones (not too big)   Any type of dry Italian-style bread can be used pagnotta was used in this recipe.,Low Protein,"c(""Low Cholesterol"", ""Weeknight"", ""< 4 Hours"")",283.9,26.0,3.6,0.0,11.1,12.4,3.2,7.4,2.3,6.0
99,Chaat Masala,1530,Carole Reu,,PT25M,PT25M,1999-08-26T19:39:00Z,"Asafoetida, mango powder and black salt distinguish the chaat masala from other  masalas, giving the blend a sourness that makes it a welcome accompaniment to  fresh fruit and other snacks.    

&quot;Chaat&quot; refers to various snacks and to the North Indian cafes that serve them. 

Fresh fruit often is sprinkled with lime juice  and chaat masala.    

Black salt (which is actually a reddish gray), available at  Indian food stores, has a distinctive flavor that's quite different from sea salt or table salt.  

The garam masala is the wild card in this recipe; either one of  the Tamil Nadu Curry Powder or Punjabi-Style Garam Masala may be used.",Asian,"c(""Indian"", ""< 30 Mins"", ""Easy"")",125.3,6.9,0.5,0.0,13999.9,16.4,6.0,0.9,5.7,
100,Bread Pudding with Jack Daniels Sauce,1571,Linda Johansen,PT1H52M,PT50M,PT2H42M,1999-08-17T03:57:00Z,Make and share this Bread Pudding with Jack Daniels Sauce recipe from Food.com.,Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")",517.6,25.4,14.7,130.4,521.2,55.5,1.4,25.6,9.2,8.0
101,Braised Chicken with Onions and Tomatoes,1533,Dancer,PT42M,PT20M,PT1H2M,1999-08-09T04:09:00Z,Make and share this Braised Chicken with Onions and Tomatoes recipe from Food.com.,Chicken Breast,"c(""Chicken Thigh & Leg"", ""Chicken"", ""Poultry"", ""Meat"", ""Free Of..."", ""Weeknight"", ""< 4 Hours"")",184.2,8.4,1.4,2.6,413.1,20.9,3.9,10.1,3.9,
102,Cheesy Scalloped Potato Side Dish,125579,GrandmaIsCooking,PT1H30M,PT25M,PT1H55M,1999-08-14T20:12:00Z,"--Adopted Recipe--
This is a simple scalloped potato recipe.  Everyone has their own way of preparing them, and I guess some people will like it and some won't, but this method is very similar to the way I make them.  The original directions gave the crockpot cooking method as the preferred method, with oven baking as an option.  I have reversed this option, since I don't do much cooking in the crockpot.  I hate to leave any electric appliance on when no one is at home.",Potato,"c(""Cheese"", ""Vegetable"", ""Healthy"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",332.0,10.5,6.5,32.3,260.7,46.0,5.2,4.3,14.2,
103,Borscht,1550,Linda Sundbye,PT30M,PT20M,PT50M,1999-08-16T05:27:00Z,Make and share this Borscht recipe from Food.com.,Vegetable,"c(""Russian"", ""European"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""< 60 Mins"")",631.8,24.7,14.9,61.1,1759.0,100.9,18.3,70.5,14.3,
104,Cheeseburger Casserole,1535,Marg CaymanDesigns,PT25M,PT15M,PT40M,1999-08-19T05:30:00Z,This is popular with the kids especially. My hubby and I find it a bit 'boring' but think adding mustard to it at the table helps give it a little zip.,Cheese,"c(""Meat"", ""< 60 Mins"", ""Oven"")",543.5,29.2,11.3,71.9,1795.1,44.8,1.5,12.6,25.5,6.0
105,Caputo's Halibut With Mint and Balsamic Vinegar,97901,Zaney1,,PT10M,PT10M,1999-08-23T21:10:00Z,This is an adopted recipe. I will post any revisions after I make it.This recipe is so quick and easy you can prepare it in minutes.,Halibut,"c(""Very Low Carbs"", ""High Protein"", ""Free Of..."", ""High In..."", ""< 15 Mins"", ""Easy"")",505.8,18.9,3.1,199.9,281.5,3.0,0.0,2.4,75.8,4.0
106,Cajun Beef Burgers,1533,Dancer,PT50M,PT40M,PT1H30M,1999-08-13T13:44:00Z,Make and share this Cajun Beef Burgers recipe from Food.com.,Meat,"c(""Cajun"", ""Weeknight"", ""< 4 Hours"")",1012.8,88.5,34.8,112.4,1000.0,38.5,3.4,4.3,15.9,4.0
108,Buttermilk Pie in Cornmeal Pastry,1535,Marg CaymanDesigns,PT40M,PT1H,PT1H40M,1999-08-06T00:41:00Z,Make and share this Buttermilk Pie in Cornmeal Pastry recipe from Food.com.,Pie,"c(""Dessert"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",459.0,19.4,6.6,83.4,323.9,61.8,1.1,40.8,10.6,8.0
109,Butterflied Lamb with Garlic Butter,1543,Doreen Randal,PT4H15M,PT45M,PT5H,1999-09-13T03:18:00Z,Make and share this Butterflied Lamb with Garlic Butter recipe from Food.com.,Lamb/Sheep,"c(""Meat"", ""High Protein"", ""High In..."", ""Weeknight"", ""Oven"")",1194.6,74.8,33.0,312.1,348.1,52.7,8.0,7.7,75.9,4.0
